asin,product_title,price,review_rating,avg_rating,num_ratings,main_category,store,review_text
B000000003,Ergonomic Mouse by BrightLife,152.31,4.5,4.57,4851,Sports & Outdoors,SwiftCore,Absolutely love this product. Will buy again.
B000000007,Advanced Chair by HomeEssentials,165.15,5.0,4.83,3200,Books,HomeEssentials,Decent product. Does what it says.
B000000010,Compact Headphones by SportGear,69.46,5.0,5.0,814,Home & Kitchen,TechPro,Works exactly as described. Fast shipping.
B000000011,Ergonomic Mouse by NovaTech,290.71,4.5,4.59,1289,Books,SwiftCore,Good quality but took a while to arrive.
B000000012,Pro Lamp by SwiftCore,216.17,5.0,4.91,3587,Sports & Outdoors,TechPro,Good product overall. Minor issues with setup.
B000000014,Wireless Backpack by AuraHome,223.5,4.5,4.52,1397,Books,ZenFit,Excellent value for money. Highly recommend.
B000000015,Compact Backpack by HomeEssentials,163.64,4.5,4.44,4698,Sports & Outdoors,BrightLife,Good product overall. Minor issues with setup.
B000000017,Professional Tracker by TechPro,232.65,4.5,4.44,2689,Electronics,BrightLife,Not bad but expected better packaging.
B000000021,Premium Lamp by HomeEssentials,102.98,5.0,4.88,2778,Electronics,NovaTech,Very happy with this purchase. Top quality.
B000000022,Advanced Lamp by HomeEssentials,182.22,5.0,4.89,3963,Electronics,NovaTech,Works exactly as described. Fast shipping.
B000000025,Professional Tracker by NovaTech,169.08,5.0,5.0,2583,Clothing,AuraHome,Not bad but expected better packaging.
B000000028,Pro Speaker by ZenFit,208.52,4.5,4.44,4043,Electronics,SportGear,"Great product, very satisfied with the quality."
B000000029,Advanced Blender by SwiftCore,35.47,4.5,4.41,246,Home & Kitchen,NovaTech,"Great product, very satisfied with the quality."
B000000031,Ergonomic Speaker by NovaTech,10.78,4.5,4.61,3440,Books,BrightLife,Absolutely love this product. Will buy again.
B000000033,Pro Speaker by SwiftCore,147.21,4.5,4.49,2551,Home & Kitchen,BrightLife,"Great product, very satisfied with the quality."
B000000041,Pro Backpack by ZenFit,297.36,5.0,4.88,84,Home & Kitchen,BrightLife,Very happy with this purchase. Top quality.
B000000043,Advanced Chair by SportGear,119.97,4.5,4.43,3934,Electronics,NovaTech,Good product overall. Minor issues with setup.
B000000050,Portable Lamp by ZenFit,241.86,5.0,4.84,4062,Sports & Outdoors,AuraHome,Amazing! Exceeded my expectations.
B000000053,Wireless Chair by NovaTech,78.34,4.5,4.44,4836,Home & Kitchen,ZenFit,Good product overall. Minor issues with setup.
B000000056,Portable Tracker by BrightLife,101.69,4.5,4.34,464,Books,HomeEssentials,Not bad but expected better packaging.
B000000061,Ultra Charger by SportGear,270.89,5.0,4.86,3038,Clothing,HomeEssentials,Good quality but took a while to arrive.
B000000066,Premium Headphones by HomeEssentials,113.05,4.5,4.4,3077,Books,AuraHome,Excellent value for money. Highly recommend.
B000000068,Wireless Headphones by AuraHome,164.23,4.5,4.69,3786,Electronics,BrightLife,Excellent value for money. Highly recommend.
B000000070,Premium Keyboard by HomeEssentials,76.41,4.5,4.14,4798,Home & Kitchen,TechPro,Works exactly as described. Fast shipping.
B000000072,Premium Headphones by SportGear,135.13,4.5,4.52,4899,Clothing,SportGear,Very happy with this purchase. Top quality.
B000000074,Ergonomic Chair by SwiftCore,221.85,4.5,4.48,158,Books,HomeEssentials,Very happy with this purchase. Top quality.
B000000075,Pro Lamp by BrightLife,211.17,5.0,4.92,3860,Home & Kitchen,TechPro,Absolutely love this product. Will buy again.
B000000079,Ultra Headphones by TechPro,225.01,5.0,5.0,2864,Sports & Outdoors,SportGear,Amazing! Exceeded my expectations.
B000000086,Premium Speaker by TechPro,69.31,4.5,4.31,4511,Clothing,SwiftCore,Decent product. Does what it says.
B000000088,Ergonomic Mouse by BrightLife,153.24,4.5,4.6,760,Clothing,ZenFit,"Great product, very satisfied with the quality."
B000000091,Smart Blender by SwiftCore,165.57,4.5,4.5,4470,Electronics,AuraHome,Excellent value for money. Highly recommend.
B000000096,Advanced Lamp by SportGear,166.55,4.5,4.43,2353,Books,ZenFit,Good product overall. Minor issues with setup.
B000000099,Wireless Speaker by SportGear,233.84,4.5,4.64,948,Electronics,SportGear,Excellent value for money. Highly recommend.
B000000100,Compact Keyboard by SwiftCore,13.53,4.5,4.6,1649,Sports & Outdoors,TechPro,Amazing! Exceeded my expectations.
