title,average_rating,price
Neutrogena Hydro Boost Water Gel,4.6,22.48
Olay Regenerist Micro-Sculpting Cream,4.5,31.14
Maybelline Fit Me Matte Foundation,5.0,7.75
e.l.f. 16HR Camo Concealer,4.9,10.7
NYX Professional Matte Lip Cream,4.5,7.35
Pantene Pro-V Shampoo 32.1 oz,4.5,11.56
TRESemme Keratin Smooth Shampoo,4.6,9.05
Dove Beauty Bar Gentle Skin Cleanser,4.9,8.53
Aveeno Daily Moisturizing Body Lotion,4.7,14.12
Vaseline Intensive Care Lotion,4.5,7.13
Cetaphil Gentle Skin Cleanser 16 oz,4.8,16.74
La Roche-Posay Toleriane Cleanser,4.9,16.17
Bioderma Sensibio H2O Micellar Water,4.8,16.67
The Ordinary Hyaluronic Acid 2%,4.7,9.82
EltaMD UV Clear SPF 46 Sunscreen,5.0,40.56
Supergoop Unseen Sunscreen SPF 40,4.8,33.88
Paula's Choice 2% BHA Liquid Exfoliant,4.8,35.64
Drunk Elephant T.L.C. Framboos Glycolic,4.5,83.0
Tatcha The Water Cream Moisturizer,4.9,59.55
Origins GinZing Eye Cream,4.8,39.5
First Aid Beauty Ultra Repair Cream,4.8,32.97
Glossier Milky Jelly Cleanser,4.5,18.09
Tarte Shape Tape Concealer,4.8,23.47
NARS Sheer Glow Foundation,4.7,45.03
Fenty Beauty Pro Filt'r Foundation,4.5,42.62
Too Faced Better Than Sex Mascara,4.8,24.92
Benefit Gimme Brow+ Volumizing Pencil,4.6,21.77
Anastasia Beverly Hills Brow Wiz,4.9,21.99
Stila Stay All Day Waterproof Liner,4.6,23.51
Laura Mercier Translucent Setting Powder,4.6,41.67
CeraVe Moisturizing Cream 16 oz,4.7,18.11
Neutrogena Hydro Boost Water Gel,4.5,20.35
L'Oreal Paris Revitalift Serum,4.5,28.16
Olay Regenerist Micro-Sculpting Cream,4.5,32.09
Maybelline Fit Me Matte Foundation,4.7,9.19
e.l.f. 16HR Camo Concealer,4.9,13.53
Revlon ColorStay Foundation,4.7,13.48
Pantene Pro-V Shampoo 32.1 oz,4.6,11.13
Dove Beauty Bar Gentle Skin Cleanser,4.8,9.95
Vaseline Intensive Care Lotion,4.5,6.5
Cetaphil Gentle Skin Cleanser 16 oz,4.7,17.41
La Roche-Posay Toleriane Cleanser,4.9,15.13
Bioderma Sensibio H2O Micellar Water,4.8,13.11
Mario Badescu Facial Spray Rosewater,4.6,13.59
EltaMD UV Clear SPF 46 Sunscreen,4.8,37.02
Supergoop Unseen Sunscreen SPF 40,4.7,34.85
Paula's Choice 2% BHA Liquid Exfoliant,4.6,29.7
Drunk Elephant T.L.C. Framboos Glycolic,4.5,87.19
Sunday Riley Good Genes Treatment,4.5,88.09
Kiehl's Ultra Facial Cream,4.7,26.16
Clinique Moisture Surge 72H Moisturizer,4.5,26.25
Origins GinZing Eye Cream,4.8,38.98
First Aid Beauty Ultra Repair Cream,4.7,33.37
NARS Sheer Glow Foundation,4.8,43.62
Charlotte Tilbury Magic Cream,4.9,107.27
Fenty Beauty Pro Filt'r Foundation,4.5,39.2
Urban Decay All Nighter Setting Spray,4.7,29.61
Too Faced Better Than Sex Mascara,4.6,26.38
Anastasia Beverly Hills Brow Wiz,4.9,21.36
Stila Stay All Day Waterproof Liner,4.7,21.52
Laura Mercier Translucent Setting Powder,4.6,44.21
CeraVe Moisturizing Cream 16 oz,4.8,21.97
Neutrogena Hydro Boost Water Gel,4.7,22.02
L'Oreal Paris Revitalift Serum,4.5,27.98
Olay Regenerist Micro-Sculpting Cream,4.6,26.47
Maybelline Fit Me Matte Foundation,4.9,7.64
NYX Professional Matte Lip Cream,4.8,7.83
Revlon ColorStay Foundation,4.7,16.39
TRESemme Keratin Smooth Shampoo,4.5,8.73
Dove Beauty Bar Gentle Skin Cleanser,4.7,10.85
Aveeno Daily Moisturizing Body Lotion,4.6,12.04
La Roche-Posay Toleriane Cleanser,4.6,13.61
Bioderma Sensibio H2O Micellar Water,4.6,13.06
The Ordinary Hyaluronic Acid 2%,4.5,9.83
Mario Badescu Facial Spray Rosewater,4.6,10.3
EltaMD UV Clear SPF 46 Sunscreen,4.8,41.0
Supergoop Unseen Sunscreen SPF 40,4.6,34.99
